fipsCode,elev_mean,elev_std,elev_min,elev_max,elev_range,elev_p90_p10,tri_km,slope_pct,ers_topo_code,ers_pct_water
42013,476.4166666666667,137.12932058816506,285.0,761.0,476.0,391.1,104.21666666666668,4.772783174782079,16,0.25
42015,407.85,105.99965222200704,219.0,665.0,446.0,262.40000000000015,66.13333333333334,2.4323138309357737,16,0.89
42017,94.1,57.0995859167508,1.0,196.0,195.0,159.29999999999998,22.083333333333332,0.6990469858846525,9,2.33
42019,392.1333333333333,35.67198334099501,310.0,468.0,158.0,96.70000000000005,21.25,0.839363587804519,15,0.79
42021,585.7666666666667,94.56705390153496,385.0,847.0,462.0,253.1,75.75,3.2254820508978623,16,0.78
42023,540.05,99.2205939872688,256.0,669.0,413.0,248.2,86.6,7.269764432831645,20,0.36
42025,386.65,126.85943442131104,179.0,622.0,443.0,325.4,69.58333333333333,4.0038068297442475,16,1.6
42027,452.18333333333334,120.49593729232036,271.0,748.0,477.0,310.20000000000005,86.01666666666667,3.630978438352699,16,0.39
42029,139.86666666666667,48.826384457678614,35.0,301.0,266.0,108.9,30.683333333333337,0.922817643004508,5,0.51
42031,426.4166666666667,49.84290292259683,291.0,508.0,217.0,113.5,41.56666666666667,1.9719029398184729,19,1.07
42033,514.7166666666667,80.55487479418825,334.0,683.0,349.0,202.60000000000008,45.1,1.7658482626971008,19,0.56
42035,436.8,130.36959196252238,171.0,702.0,531.0,320.59999999999997,118.71666666666668,4.396227497908526,20,0.81
42037,307.96666666666664,81.84192425017726,150.0,513.0,363.0,192.8,50.7,2.4907160984001635,16,0.87
42039,398.8833333333333,55.493499899298534,266.0,512.0,246.0,143.10000000000002,31.25,0.9945645364064178,5,2.4
42041,218.0,98.40835020378356,123.0,563.0,440.0,221.00000000000003,41.266666666666666,1.9540724094153028,16,0.19
42043,212.43333333333337,107.40235875746244,85.0,498.0,413.0,276.2,47.7,2.4584951667146293,16,5.78
42045,72.61666666666666,40.43496207729259,0.0,143.0,143.0,100.3,22.7,2.0346144617835975,5,3.43
42047,554.1333333333333,67.79292165107431,329.0,673.0,344.0,155.7,48.516666666666666,2.2608138741067263,15,0.43
42049,273.6,116.90300194779766,172.0,514.0,342.0,288.90000000000003,21.75,0.9318383102620748,5,48.54
42051,437.73333333333335,118.098331144894,279.0,685.0,406.0,284.1,55.766666666666666,2.794982578526321,16,0.99
42053,496.46666666666664,46.77695603413297,339.0,577.0,238.0,109.20000000000005,36.05,3.011796809287733,15,0.76
42055,267.0833333333333,111.61287388029756,150.0,568.0,418.0,317.5,51.25,2.4894304434823433,16,0.09
42057,334.85,99.93503398182818,179.0,632.0,453.0,268.2,69.35,3.57504489230159,16,0.11
42059,361.3,44.29726241684828,256.0,452.0,196.0,110.59999999999997,47.166666666666664,2.632780002775651,19,0.36
42061,355.8666666666667,121.41754077990356,179.0,709.0,530.0,325.7000000000001,73.68333333333334,3.0766990277098123,16,1.68
42063,444.81666666666666,70.21890509519757,299.0,610.0,311.0,197.8,43.7,1.923413301623184,19,0.58
42065,495.53333333333336,46.86239020599791,366.0,633.0,267.0,110.40000000000003,39.2,1.391862735588506,19,0.21
42067,313.73333333333335,130.08678546037038,134.0,642.0,508.0,351.1,78.41666666666667,5.107078349324188,16,0.5
42069,448.35,110.01522621891937,192.0,658.0,466.0,279.6,56.25,2.5747842544189616,16,1.24
42071,137.75,34.80240835227706,71.0,254.0,183.0,69.80000000000003,29.483333333333334,1.0646885080993778,10,3.53
42073,347.05,38.47007421580431,250.0,413.0,163.0,110.10000000000002,18.516666666666666,1.1682057337677196,19,0.63
42075,188.25,73.40729770215086,115.0,447.0,332.0,147.50000000000006,45.05,2.554787765149962,16,0.22
42077,175.78333333333333,59.89003812544009,88.0,449.0,361.0,111.3,25.283333333333335,1.9933797353674332,16,0.48
42079,367.3333333333333,111.58726412151296,170.0,698.0,528.0,272.2,60.916666666666664,2.245729515624727,16,1.78
42081,405.4,136.30029160469695,161.0,643.0,482.0,355.30000000000007,97.53333333333332,3.7623509949868854,20,0.72
42083,595.8833333333333,68.82872175082949,439.0,710.0,271.0,175.10000000000002,62.7,2.207575460061602,15,0.26
42085,370.93333333333334,41.97491852655266,281.0,477.0,196.0,112.10000000000002,28.0,1.4103540334538889,5,1.58
42087,316.8666666666667,120.08012390979654,148.0,574.0,426.0,309.0,85.6,4.78806149954944,16,0.67
42089,366.53333333333336,129.18131610019512,165.0,663.0,498.0,364.9,52.666666666666664,2.5121099430218563,20,1.41
42091,91.5,32.32069180330254,23.0,186.0,163.0,72.20000000000002,23.033333333333335,1.0368615711669995,10,0.89
42093,212.78333333333333,48.57393165225759,137.0,319.0,182.0,126.90000000000003,29.616666666666667,4.013434202433605,16,1.17
42095,183.13333333333333,81.68282326058036,67.0,463.0,396.0,136.8,34.63333333333333,2.055907418935931,16,0.94
42097,234.2,78.61142367495573,120.0,524.0,404.0,175.0,49.75,2.755260456285278,16,3.66
42099,251.65,105.64568622025774,114.0,628.0,514.0,219.4,64.13333333333334,3.0941720510932416,16,0.4
42101,36.63333333333333,32.83031188598539,-1.0,131.0,132.0,85.30000000000001,12.55,1.1194766036697448,5,5.29
42103,378.9,93.17665016297389,106.0,566.0,460.0,209.8,47.3,2.380180390608213,20,3.46
42105,624.4166666666666,91.27947244805635,341.0,765.0,424.0,227.6,82.25,2.679361535915184,20,0.02
42107,318.53333333333336,108.10548311823035,164.0,598.0,434.0,292.0,67.68333333333334,3.167455018073529,16,0.51
42109,249.71666666666667,103.48324873312389,141.0,624.0,483.0,222.6,59.21666666666667,3.5362423969780075,16,0.29
42111,687.8333333333334,88.77779663373745,486.0,842.0,356.0,220.80000000000007,60.36666666666667,2.6341199705787295,16,0.6
42113,539.3166666666667,107.07315599375632,287.0,743.0,456.0,271.40000000000003,63.983333333333334,4.703488137081879,16,0.53
42115,432.35,91.18166352239832,268.0,659.0,391.0,207.3,80.4,3.158379149961474,15,1.13
